,daysBetweenDates,isBasicEconomy,1depTimeOnly,numberOfStopovers,waitingTime,numericalStartingAirport,numericalDestinationAirport,numerical1cabin,totalFare
374,1,0,10,1,3.0,5,4,1,542.6
375,12,0,6,1,1.0,15,6,1,386.61
376,9,0,6,1,1.0,14,11,1,358.6
377,28,1,6,1,1.0,7,5,1,136.1
378,36,0,10,1,1.0,4,14,1,512.6
379,49,1,21,1,6.0,13,4,1,196.2
380,13,1,10,1,0.0,9,6,1,267.6
381,43,0,13,1,2.0,9,2,1,538.6
383,20,0,11,0,0.0,2,6,1,237.1
384,33,0,9,0,0.0,0,9,1,593.6
385,36,0,18,1,0.0,2,9,1,416.1
386,25,0,24,1,8.0,3,2,1,342.2
387,25,0,23,0,0.0,9,13,1,428.6
388,26,0,6,1,1.0,14,3,1,242.6
389,48,0,6,1,2.0,3,5,1,341.6
390,21,0,21,1,1.0,3,15,1,147.6
391,16,0,8,0,0.0,10,2,1,218.6
392,60,1,8,0,0.0,15,9,1,88.6
393,26,0,13,0,0.0,8,3,1,198.6
394,29,1,16,1,2.0,15,3,1,156.6
395,17,0,11,1,2.0,4,1,1,511.6
396,10,0,11,0,0.0,2,13,1,214.1
397,17,0,16,0,0.0,11,4,1,579.0
398,25,1,5,1,2.0,13,11,1,181.6
399,17,0,5,2,7.0,7,10,1,241.19
400,48,0,8,1,3.0,3,9,1,377.61
401,39,0,24,1,2.0,15,0,1,561.61
402,20,1,13,1,2.0,3,15,1,107.6
403,36,0,8,1,1.0,0,15,1,507.6
404,46,0,22,2,12.0,10,9,1,316.07
405,8,0,9,1,1.0,4,9,1,237.6
406,23,1,13,0,0.0,13,10,1,188.6
408,17,0,9,1,3.0,8,13,1,501.6
409,57,0,24,0,0.0,15,2,1,459.61
410,11,0,20,2,7.0,7,10,1,423.2
411,56,0,11,0,0.0,10,4,1,148.6
412,36,0,7,1,3.0,6,2,1,167.6
413,19,1,11,1,1.0,11,13,1,187.6
414,28,1,6,0,0.0,11,13,1,138.6
415,28,0,17,1,1.0,1,7,1,386.6
417,14,1,16,0,0.0,11,10,1,108.6
418,25,0,9,1,3.0,9,0,1,207.6
420,24,1,9,0,0.0,10,7,1,148.6
421,12,0,6,1,1.0,13,7,1,181.6
422,40,0,7,0,0.0,1,2,1,178.6
423,12,1,6,0,0.0,15,8,1,213.6
424,52,0,6,1,3.0,5,9,1,236.1
425,16,1,17,1,2.0,10,9,1,140.6
426,34,0,11,1,6.0,9,3,1,101.58
427,39,0,17,1,0.0,6,9,1,311.6
428,11,1,8,0,0.0,9,15,1,88.6
429,42,1,12,1,2.0,4,13,1,107.6
430,9,0,6,1,1.0,15,12,1,381.61
431,2,0,6,0,0.0,4,0,1,222.6
432,9,0,21,0,0.0,8,11,1,68.6
433,15,0,6,1,6.0,9,8,1,412.2
434,8,0,5,1,1.0,6,5,1,256.1
435,37,0,8,0,0.0,10,4,1,163.6
436,27,0,17,1,2.0,6,3,1,506.1
437,40,0,16,1,7.0,9,13,1,199.58
438,21,0,6,1,1.0,6,4,1,318.6
439,3,0,8,1,1.0,10,9,1,395.6
440,32,1,23,1,8.0,11,13,1,218.2
441,48,0,8,0,0.0,6,2,1,158.6
442,6,0,0,0,0.0,3,14,1,233.99
443,50,0,12,1,1.0,6,13,1,428.6
444,26,0,14,1,2.0,11,9,1,428.6
445,19,0,15,1,5.0,14,10,1,282.2
446,38,0,20,0,0.0,1,9,1,384.6
447,17,0,13,1,4.0,13,11,1,391.62
448,21,0,14,1,5.0,4,5,1,458.2
449,5,0,7,2,4.0,5,12,1,629.1
450,41,0,9,1,5.0,14,2,1,567.2
451,22,0,6,2,3.0,7,8,1,1280.6
452,35,0,6,2,6.0,5,8,1,521.7
453,13,0,24,1,2.0,9,6,1,344.6
454,48,0,8,0,0.0,10,3,1,315.1
455,29,1,15,1,2.0,6,13,1,112.6
456,32,0,15,1,3.0,10,7,1,235.1
457,10,0,15,1,1.0,0,14,1,113.58
458,12,0,15,0,0.0,11,10,1,148.6
459,15,0,16,0,0.0,1,0,1,438.6
460,30,0,7,1,4.0,11,2,1,181.6
461,41,0,16,1,1.0,14,2,1,247.6
462,5,0,19,0,0.0,4,10,1,498.6
463,13,0,20,0,0.0,13,3,1,205.6
464,25,0,7,1,1.0,3,11,1,460.6
465,36,0,7,1,1.0,4,5,1,120.58
466,47,0,24,1,7.0,15,2,1,518.21
467,2,0,8,1,4.0,4,1,1,591.6
468,49,0,12,1,1.0,6,5,1,442.6
469,23,0,16,1,3.0,4,7,1,181.6
470,28,0,8,1,7.0,3,6,1,404.2
471,40,0,9,1,1.0,1,2,1,97.6
472,4,0,6,1,2.0,14,2,1,298.6
473,26,1,23,0,0.0,9,0,1,308.6
474,28,0,18,0,0.0,3,0,1,148.6
475,18,0,10,0,0.0,6,2,1,238.6
476,43,0,14,2,3.0,2,12,1,678.99
477,2,0,16,1,1.0,7,15,1,548.6
478,5,0,7,1,4.0,1,12,1,367.98
